"","species","run","brood_year","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","recovery_location_code","fishery","fishery_name","fishery_short_name","event_released","number_cwt_estimated","fate","sar","tags_lost"
"100","1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",10,290,40,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",75642,2.02,"hatchery",2.6704740752492e-05,75639.98
"101","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",10,295,40,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",37087,1.03,"hatchery",2.77725348504867e-05,37085.97
"102","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,50,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",36983,1,"hatchery",2.70394505583647e-05,36982
"103","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",2,34,50,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",34339,1,"hatchery",2.91214071463933e-05,34338
"104","1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",38061,1.01,"hatchery",2.65363495441528e-05,38059.99
"105","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,60,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",31724,1,"hatchery",3.15218761820704e-05,31723
"106","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,60,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",34049,1.01,"hatchery",2.96631325442744e-05,34047.99
"107","1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H",8,215,40,"smolt","3F42001^^270002^H03","50","Hatchery","Hatchery",73182,3,"hatchery",4.09936869722063e-05,73179
"108","1","1",2015,"3F42001^^270168^R01","3F42001^^270430^H",10,279,30,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",94075,39.31,"hatchery",0.000417858091947914,94035.69
"109","1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",74597,60.3,"hatchery",0.000808343499068327,74536.7
"110","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",64495,169,"hatchery",0.00262035816729979,64326
"111","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",73845,91,"hatchery",0.00123231092152482,73754
"112","1","1",2012,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",88322,21.09,"hatchery",0.000238785353592536,88300.91
"113","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",94395,310.05,"hatchery",0.00328460193866201,94084.95
"114","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",69963,97.54,"hatchery",0.00139416548747195,69865.46
"115","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",71240,309.62,"hatchery",0.00434615384615385,70930.38
"116","1","1",2012,"3F42001^^270168^R01","3F42001^^270168^H",3,62,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",84283,40.12,"hatchery",0.000476015329307215,84242.88
"117","1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H",8,215,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",145964,343.56,"hatchery",0.00235373105697295,145620.44
"118","1","1",2020,"3F42001^^270168^R","3F42001^^270168^H",10,274,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",75705,144.02,"hatchery",0.00190238425467274,75560.98
"119","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",101886,134.01,"hatchery",0.00131529356339438,101751.99
"120","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",66190,137.29,"hatchery",0.00207418038978698,66052.71
"121","1","1",2015,"3F42001^^270168^R01","3F42001^^270168^H",10,275,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",122889,80.57,"hatchery",0.000655632318596457,122808.43
"122","1","1",2016,"3F42001^^270168^R01","3F42001^^270168^H",10,278,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",294492,1119.65,"hatchery",0.00380197085150021,293372.35
"123","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",10,285,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",72376,103,"hatchery",0.00142312368741019,72273
"124","1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",10,290,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",75642,231.55,"hatchery",0.00306113006001957,75410.45
"125","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",10,295,40,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",74297,77.48,"hatchery",0.0010428415683002,74219.52
"126","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",2,32,50,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",64573,95,"hatchery",0.00147120313443699,64478
"127","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,50,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",73889,186.01,"hatchery",0.00251742478582739,73702.99
"128","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",2,34,50,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",139261,156.83,"hatchery",0.00112615879535548,139104.17
"129","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","3F42001^^270168^H","50","Hatchery","Hatchery",50386,65.02,"hatchery",0.00129043782002937,50320.98
